SNMP sw2_ip table:
1.3.6.1.2.1.4.1.0 = 1
1.3.6.1.2.1.4.2.0 = 255
1.3.6.1.2.1.4.3.0 = 398003
1.3.6.1.2.1.4.4.0 = 26072
1.3.6.1.2.1.4.5.0 = 0
1.3.6.1.2.1.4.6.0 = 0
1.3.6.1.2.1.4.7.0 = 0
1.3.6.1.2.1.4.8.0 = 0
1.3.6.1.2.1.4.9.0 = 371931
1.3.6.1.2.1.4.10.0 = 354766
1.3.6.1.2.1.4.11.0 = 78
1.3.6.1.2.1.4.12.0 = 0
1.3.6.1.2.1.4.13.0 = 30
1.3.6.1.2.1.4.14.0 = 0
1.3.6.1.2.1.4.15.0 = 0
1.3.6.1.2.1.4.16.0 = 0
1.3.6.1.2.1.4.17.0 = 0
1.3.6.1.2.1.4.18.0 = 0
1.3.6.1.2.1.4.19.0 = 0
1.3.6.1.2.1.4.20.1.1.10.0.0.2 = 10.0.0.2
1.3.6.1.2.1.4.20.1.2.10.0.0.2 = 100
1.3.6.1.2.1.4.20.1.3.10.0.0.2 = 255.255.255.224
1.3.6.1.2.1.4.20.1.4.10.0.0.2 = 1
1.3.6.1.2.1.4.20.1.5.10.0.0.2 = 18024
1.3.6.1.2.1.4.22.1.1.100.10.0.0.1 = 100
1.3.6.1.2.1.4.22.1.1.100.10.0.0.2 = 100
1.3.6.1.2.1.4.22.1.1.100.10.0.0.5 = 100
1.3.6.1.2.1.4.22.1.2.100.10.0.0.1 = 0x88908d1b17d1
1.3.6.1.2.1.4.22.1.2.100.10.0.0.2 = 0x28940fe5fac1
1.3.6.1.2.1.4.22.1.2.100.10.0.0.5 = 0x001c7f707f0f
1.3.6.1.2.1.4.22.1.3.100.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.22.1.3.100.10.0.0.2 = 10.0.0.2
1.3.6.1.2.1.4.22.1.3.100.10.0.0.5 = 10.0.0.5
1.3.6.1.2.1.4.22.1.4.100.10.0.0.1 = 3
1.3.6.1.2.1.4.22.1.4.100.10.0.0.2 = 4
1.3.6.1.2.1.4.22.1.4.100.10.0.0.5 = 3
1.3.6.1.2.1.4.23.0 = 0
1.3.6.1.2.1.4.24.3.0 = 28
1.3.6.1.2.1.4.24.4.1.1.0.0.0.0.0.0.0.0.0.10.0.0.1 = 0.0.0.0
1.3.6.1.2.1.4.24.4.1.1.10.0.0.0.255.255.255.224.0.0.0.0.0 = 10.0.0.0
